record_id,bank,customer_id,entity_type,cluster_id
H:HB-10009,H,HB-10009,PERSON,H:HB-10009
H:HB-10012,H,HB-10012,PERSON,H:HB-10012
H:HB-10015,H,HB-10015,PERSON,H:HB-10015
H:HB-10020,H,HB-10020,PERSON,H:HB-10020
H:HB-10022,H,HB-10022,PERSON,H:HB-10022
H:HB-10028,H,HB-10028,PERSON,H:HB-10028
H:HB-10032,H,HB-10032,PERSON,H:HB-10032
H:HB-10033,H,HB-10033,PERSON,H:HB-10033
H:HB-10037,H,HB-10037,PERSON,H:HB-10037
H:HB-10046,H,HB-10046,PERSON,H:HB-10046
H:HB-10052,H,HB-10052,PERSON,H:HB-10052
H:HB-10057,H,HB-10057,PERSON,H:HB-10057
H:HB-10065,H,HB-10065,PERSON,H:HB-10065
H:HB-11348,H,HB-11348,PERSON,H:HB-10065
H:HB-10067,H,HB-10067,PERSON,H:HB-10067
H:HB-10074,H,HB-10074,PERSON,H:HB-10074
H:HB-10082,H,HB-10082,PERSON,H:HB-10082
H:HB-10085,H,HB-10085,PERSON,H:HB-10085
H:HB-10093,H,HB-10093,PERSON,H:HB-10093
H:HB-10095,H,HB-10095,PERSON,H:HB-10095
H:HB-10097,H,HB-10097,PERSON,H:HB-10097
H:HB-10103,H,HB-10103,PERSON,H:HB-10103
H:HB-10108,H,HB-10108,PERSON,H:HB-10108
H:HB-10110,H,HB-10110,PERSON,H:HB-10110
H:HB-10114,H,HB-10114,PERSON,H:HB-10114
H:HB-11360,H,HB-11360,PERSON,H:HB-10114
H:HB-10117,H,HB-10117,PERSON,H:HB-10117
H:HB-10120,H,HB-10120,PERSON,H:HB-10120
H:HB-10127,H,HB-10127,PERSON,H:HB-10127
H:HB-10134,H,HB-10134,PERSON,H:HB-10134
H:HB-10141,H,HB-10141,PERSON,H:HB-10141
H:HB-10150,H,HB-10150,PERSON,H:HB-10150
H:HB-10157,H,HB-10157,PERSON,H:HB-10157
H:HB-10163,H,HB-10163,PERSON,H:HB-10163
H:HB-10164,H,HB-10164,PERSON,H:HB-10164
H:HB-10167,H,HB-10167,PERSON,H:HB-10167
H:HB-10171,H,HB-10171,PERSON,H:HB-10171
H:HB-10180,H,HB-10180,PERSON,H:HB-10180
H:HB-10183,H,HB-10183,PERSON,H:HB-10183
H:HB-10192,H,HB-10192,PERSON,H:HB-10192
