threshold,tp,fp,fn,precision,recall,f1
10,133,4,0,0.9708,1.0,0.9852
15,133,2,0,0.9852,1.0,0.9925
20,133,2,0,0.9852,1.0,0.9925
25,133,0,0,1.0,1.0,1.0
30,133,0,0,1.0,1.0,1.0
35,133,0,0,1.0,1.0,1.0
40,133,0,0,1.0,1.0,1.0
45,133,0,0,1.0,1.0,1.0
50,133,0,0,1.0,1.0,1.0
55,132,0,1,1.0,0.9925,0.9962
60,132,0,1,1.0,0.9925,0.9962
65,131,0,2,1.0,0.985,0.9924
70,122,0,11,1.0,0.9173,0.9569
75,113,0,20,1.0,0.8496,0.9187
80,111,0,22,1.0,0.8346,0.9098
85,110,0,23,1.0,0.8271,0.9053
90,90,0,43,1.0,0.6767,0.8072
95,90,0,43,1.0,0.6767,0.8072
100,90,0,43,1.0,0.6767,0.8072
105,86,0,47,1.0,0.6466,0.7854
110,82,0,51,1.0,0.6165,0.7628
115,79,0,54,1.0,0.594,0.7453
120,64,0,69,1.0,0.4812,0.6497
125,50,0,83,1.0,0.3759,0.5464
130,49,0,84,1.0,0.3684,0.5385
135,47,0,86,1.0,0.3534,0.5222
140,4,0,129,1.0,0.0301,0.0584
145,4,0,129,1.0,0.0301,0.0584
150,4,0,129,1.0,0.0301,0.0584
